H.A,187,H.A,187,H.A,127,H.A,4694,H.A,1284,H.A,759,H.A,758,H.A,880,H.A,685,H.A,3914,H.A,707,H.A,1146,H.A,604,H.A,653,H.A,479,H.A,608,H.A,492,H.A,351,H.A,436,H.A,335,H.A,361,H.A,377,H.A,387,H.A,1101,H.A,379,H.A,429,H.A,606,H.A,514,H.A,571,H.A,290,H.A,86,H.A,72,H.A,87,H.A,132,H.A,118,H.A,354,H.A,572,H.A,389,H.A,67,H.A,25,H.A,412,H.A,284,H.A,323,H.A,509,H.A,335,H.A,299,H.A,258,H.A,199,H.A,303,H.A,225,H.A,238,H.a,1759,H.A,383,H.A,591,H.A,365,H.A,317,H.A,440,H.A,939,H.A,261,H.A,191,H.A,306,H.A,176,H.A,100,H.A,117,H.Enter,45,,86,,43,,113
DD.A.m,244,DD.A.M,229,DD.A.m,320,DD.A.m,4891,DD.A.m,1456,DD.A.m,914,DD.A.m,908,DD.A.m,1010,DD.A.m,742,DD.A.m,4057,DD.A.m,853,DD.A.m,1368,DD.A.m,731,DD.A.m,794,DD.A.m,596,DD.A.m,763,DD.A.m,679,DD.A.m,504,DD.A.m,568,DD.A.m,482,DD.A.m,502,DD.A.m,567,DD.A.m,620,DD.A.m,1253,DD.A.1,525,DD.A.m,584,DD.A.m,766,DD.A.m,682,DD.A.m,735,DD.A.m,396,DD.A.m,230,DD.A.m,188,DD.A.m,209,DD.A.m,253,DD.A.m,250,DD.A.m,466,DD.A.m,713,DD.A.m,494,DD.A.m,184,DD.A.m,186,DD.A.m,554,DD.A.m,441,DD.A.m,477,DD.A.m,649,DD.A.m,469,DD.A.m,431,DD.A.m,482,DD.A.m,356,DD.A.m,442,DD.A.m,372,DD.A.m,361,DD.a.\,1911,DD.A.m,533,DD.A.m,731,DD.A.m,498,DD.A.m,456,DD.A.m,579,DD.A.m,1092,DD.A.m,420,DD.A.m,330,DD.A.m,455,DD.A.m,271,DD.A.m,217,DD.A.m,218,DD.Enter.A,185,,161,,156,,
UD.A.m,57,UD.A.M,42,UD.A.m,193,UD.A.m,197,UD.A.m,172,UD.A.m,155,UD.A.m,150,UD.A.m,130,UD.A.m,57,UD.A.m,143,UD.A.m,146,UD.A.m,222,UD.A.m,127,UD.A.m,141,UD.A.m,117,UD.A.m,155,UD.A.m,187,UD.A.m,153,UD.A.m,132,UD.A.m,147,UD.A.m,141,UD.A.m,190,UD.A.m,233,UD.A.m,152,UD.A.1,146,UD.A.m,155,UD.A.m,160,UD.A.m,168,UD.A.m,164,UD.A.m,106,UD.A.m,144,UD.A.m,116,UD.A.m,122,UD.A.m,121,UD.A.m,132,UD.A.m,112,UD.A.m,141,UD.A.m,105,UD.A.m,117,UD.A.m,161,UD.A.m,142,UD.A.m,157,UD.A.m,154,UD.A.m,140,UD.A.m,134,UD.A.m,132,UD.A.m,224,UD.A.m,157,UD.A.m,139,UD.A.m,147,UD.A.m,123,UD.a.\,152,UD.A.m,150,UD.A.m,140,UD.A.m,133,UD.A.m,139,UD.A.m,139,UD.A.m,153,UD.A.m,159,UD.A.m,139,UD.A.m,149,UD.A.m,95,UD.A.m,117,UD.A.m,101,UD.Enter.A,140,,75,,113,,
H.m,107,H.M,69,H.m,122,H.m,185,H.m,487,H.m,143,H.m,1427,H.m,334,H.m,452,H.m,306,H.m,253,H.m,284,H.m,482,H.m,232,H.m,251,H.m,318,H.m,283,H.m,256,H.m,253,H.m,177,H.m,249,H.m,75,H.m,121,H.m,888,H.1,563,H.m,227,H.m,324,H.m,186,H.m,197,H.m,324,H.m,402,H.m,395,H.m,950,H.m,779,H.m,484,H.m,367,H.m,416,H.m,159,H.m,473,H.m,79,H.m,166,H.m,249,H.m,297,H.m,113,H.m,181,H.m,434,H.m,254,H.m,792,H.m,166,H.m,170,H.m,325,H.\,405,H.m,287,H.m,202,H.m,253,H.m,160,H.m,129,H.m,333,H.m,175,H.m,112,H.m,217,H.m,352,H.m,207,H.m,243,H.A,582,,,,,,
DD.m.1,522,DD.M.Backspace,482,DD.m.1,674,DD.m.1,282,DD.m.1,605,DD.m.1,266,DD.m.1,1535,DD.m.1,472,DD.m.1,569,DD.m.1,429,DD.m.1,376,DD.m.1,396,DD.m.1,577,DD.m.1,333,DD.m.1,353,DD.m.1,430,DD.m.1,374,DD.m.1,353,DD.m.1,353,DD.m.1,279,DD.m.1,341,DD.m.1,173,DD.m.1,230,DD.m.1,995,DD.1.1,790,DD.m.1,318,DD.m.1,429,DD.m.1,296,DD.m.1,306,DD.m.1,498,DD.m.1,542,DD.m.1,590,DD.m.1,1106,DD.m.1,951,DD.m.1,631,DD.m.1,548,DD.m.1,592,DD.m.1,376,DD.m.1,645,DD.m.1,195,DD.m.1,309,DD.m.1,371,DD.m.1,407,DD.m.1,203,DD.m.1,302,DD.m.1,514,DD.m.1,377,DD.m.1,875,DD.m.1,277,DD.m.1,261,DD.m.1,440,DD.\.Backspace,505,DD.m.1,383,DD.m.1,282,DD.m.1,371,DD.m.1,281,DD.m.1,251,DD.m.1,428,DD.m.1,270,DD.m.1,215,DD.m.1,323,DD.m.1,447,DD.m.1,291,DD.m.1,343,DD.A.m,679,,,,,,
UD.m.1,415,UD.M.Backspace,413,UD.m.1,552,UD.m.1,97,UD.m.1,118,UD.m.1,123,UD.m.1,108,UD.m.1,138,UD.m.1,117,UD.m.1,123,UD.m.1,123,UD.m.1,112,UD.m.1,95,UD.m.1,101,UD.m.1,102,UD.m.1,112,UD.m.1,91,UD.m.1,97,UD.m.1,100,UD.m.1,102,UD.m.1,92,UD.m.1,98,UD.m.1,109,UD.m.1,107,UD.1.1,227,UD.m.1,91,UD.m.1,105,UD.m.1,110,UD.m.1,109,UD.m.1,174,UD.m.1,140,UD.m.1,195,UD.m.1,156,UD.m.1,172,UD.m.1,147,UD.m.1,181,UD.m.1,176,UD.m.1,217,UD.m.1,172,UD.m.1,116,UD.m.1,143,UD.m.1,122,UD.m.1,110,UD.m.1,90,UD.m.1,121,UD.m.1,80,UD.m.1,123,UD.m.1,83,UD.m.1,111,UD.m.1,91,UD.m.1,115,UD.\.Backspace,100,UD.m.1,96,UD.m.1,80,UD.m.1,118,UD.m.1,121,UD.m.1,122,UD.m.1,95,UD.m.1,95,UD.m.1,103,UD.m.1,106,UD.m.1,95,UD.m.1,84,UD.m.1,100,UD.A.m,97,,,,,,
H.1,91,H.Backspace,107,H.1,96,H.1,592,H.1,445,H.1,382,H.1,334,H.1,300,H.1,476,H.1,344,H.1,440,H.1,340,H.1,230,H.1,522,H.1,268,H.1,475,H.1,604,H.1,232,H.1,283,H.1,337,H.1,372,H.1,384,H.1,288,H.1,525,H.1,111,H.1,298,H.1,409,H.1,227,H.1,365,H.1,165,H.1,247,H.1,160,H.1,251,H.1,521,H.1,264,H.1,258,H.1,281,H.1,220,H.1,178,H.1,579,H.1,420,H.1,479,H.1,448,H.1,344,H.1,703,H.1,501,H.1,516,H.1,372,H.1,766,H.1,412,H.1,402,H.Backspace,451,H.1,489,H.1,449,H.1,351,H.1,442,H.1,550,H.1,249,H.1,988,H.1,482,H.1,407,H.1,926,H.1,337,H.1,605,H.m,842,,,,,,
DD.1.1,174,DD.Backspace.m,484,DD.1.1,146,DD.1.1,673,DD.1.1,509,DD.1.1,485,DD.1.1,447,DD.1.1,401,DD.1.1,572,DD.1.1,446,DD.1.1,520,DD.1.1,452,DD.1.1,321,DD.1.1,614,DD.1.1,348,DD.1.1,562,DD.1.1,694,DD.1.1,291,DD.1.1,350,DD.1.1,412,DD.1.1,453,DD.1.1,470,DD.1.1,349,DD.1.1,612,DD.1.5,208,DD.1.1,369,DD.1.1,462,DD.1.1,315,DD.1.1,429,DD.1.1,322,DD.1.1,359,DD.1.1,290,DD.1.1,373,DD.1.1,632,DD.1.1,399,DD.1.1,359,DD.1.1,383,DD.1.1,333,DD.1.1,295,DD.1.1,743,DD.1.1,576,DD.1.1,659,DD.1.1,612,DD.1.1,565,DD.1.1,869,DD.1.1,658,DD.1.1,673,DD.1.1,516,DD.1.1,940,DD.1.1,600,DD.1.1,606,DD.Backspace.Backspace,638,DD.1.1,659,DD.1.1,629,DD.1.1,575,DD.1.1,642,DD.1.1,751,DD.1.1,431,DD.1.1,1158,DD.1.1,662,DD.1.1,604,DD.1.1,1139,DD.1.1,553,DD.1.1,777,DD.m.Backspace,976,,,,,,
UD.1.1,83,UD.Backspace.m,377,UD.1.1,50,UD.1.1,81,UD.1.1,64,UD.1.1,103,UD.1.1,113,UD.1.1,101,UD.1.1,96,UD.1.1,102,UD.1.1,80,UD.1.1,112,UD.1.1,91,UD.1.1,92,UD.1.1,80,UD.1.1,87,UD.1.1,90,UD.1.1,59,UD.1.1,67,UD.1.1,75,UD.1.1,81,UD.1.1,86,UD.1.1,61,UD.1.1,87,UD.1.5,97,UD.1.1,71,UD.1.1,53,UD.1.1,88,UD.1.1,64,UD.1.1,157,UD.1.1,112,UD.1.1,130,UD.1.1,122,UD.1.1,111,UD.1.1,135,UD.1.1,101,UD.1.1,102,UD.1.1,113,UD.1.1,117,UD.1.1,164,UD.1.1,156,UD.1.1,180,UD.1.1,164,UD.1.1,221,UD.1.1,166,UD.1.1,157,UD.1.1,157,UD.1.1,144,UD.1.1,174,UD.1.1,188,UD.1.1,204,UD.Backspace.Backspace,187,UD.1.1,170,UD.1.1,180,UD.1.1,224,UD.1.1,200,UD.1.1,201,UD.1.1,182,UD.1.1,170,UD.1.1,180,UD.1.1,197,UD.1.1,213,UD.1.1,216,UD.1.1,172,UD.m.Backspace,134,,,,,,
H.1,117,H.m,114,H.1,112,H.1,73,H.1,66,H.1,61,H.1,57,H.1,72,H.1,63,H.1,48,H.1,59,H.1,121,H.1,54,H.1,69,H.1,83,H.1,62,H.1,65,H.1,81,H.1,77,H.1,58,H.1,59,H.1,65,H.1,62,H.1,70,H.5,266,H.1,68,H.1,71,H.1,73,H.1,77,H.1,179,H.1,219,H.1,108,H.1,453,H.1,249,H.1,588,H.1,275,H.1,866,H.1,235,H.1,273,H.1,242,H.1,168,H.1,172,H.1,157,H.1,1254,H.1,866,H.1,171,H.1,153,H.1,191,H.1,182,H.1,116,H.1,150,H.Backspace,479,H.1,198,H.1,142,H.1,216,H.1,218,H.1,218,H.1,159,H.1,379,H.1,150,H.1,172,H.1,69,H.1,150,H.1,1134,H.Backspace,368,,,,,,
DD.1.5,618,DD.m.1,811,DD.1.5,245,DD.1.5,175,DD.1.5,188,DD.1.5,179,DD.1.5,174,DD.1.5,172,DD.1.5,203,DD.1.5,181,DD.1.5,193,DD.1.5,246,DD.1.5,247,DD.1.5,186,DD.1.5,195,DD.1.5,190,DD.1.5,183,DD.1.5,181,DD.1.5,181,DD.1.5,187,DD.1.5,177,DD.1.5,188,DD.1.5,180,DD.1.5,175,DD.5.R,366,DD.1.5,190,DD.1.5,210,DD.1.5,186,DD.1.5,190,DD.1.5,240,DD.1.5,281,DD.1.5,196,DD.1.5,538,DD.1.5,294,DD.1.5,660,DD.1.5,355,DD.1.5,956,DD.1.5,341,DD.1.5,353,DD.1.5,328,DD.1.5,273,DD.1.5,285,DD.1.5,268,DD.1.5,1376,DD.1.5,1014,DD.1.5,282,DD.1.5,274,DD.1.5,304,DD.1.5,305,DD.1.5,229,DD.1.5,256,DD.Backspace.a,570,DD.1.5,324,DD.1.5,249,DD.1.5,323,DD.1.5,314,DD.1.5,337,DD.1.5,277,DD.1.5,483,DD.1.5,267,DD.1.5,264,DD.1.5,165,DD.1.5,283,DD.1.5,1245,DD.Backspace.A,547,,,,,,
UD.1.5,501,UD.m.1,697,UD.1.5,133,UD.1.5,102,UD.1.5,122,UD.1.5,118,UD.1.5,117,UD.1.5,100,UD.1.5,140,UD.1.5,133,UD.1.5,134,UD.1.5,125,UD.1.5,193,UD.1.5,117,UD.1.5,112,UD.1.5,128,UD.1.5,118,UD.1.5,100,UD.1.5,104,UD.1.5,129,UD.1.5,118,UD.1.5,123,UD.1.5,118,UD.1.5,105,UD.5.R,100,UD.1.5,122,UD.1.5,139,UD.1.5,113,UD.1.5,113,UD.1.5,61,UD.1.5,62,UD.1.5,88,UD.1.5,85,UD.1.5,45,UD.1.5,72,UD.1.5,80,UD.1.5,90,UD.1.5,106,UD.1.5,80,UD.1.5,86,UD.1.5,105,UD.1.5,113,UD.1.5,111,UD.1.5,122,UD.1.5,148,UD.1.5,111,UD.1.5,121,UD.1.5,113,UD.1.5,123,UD.1.5,113,UD.1.5,106,UD.Backspace.a,91,UD.1.5,126,UD.1.5,107,UD.1.5,107,UD.1.5,96,UD.1.5,119,UD.1.5,118,UD.1.5,104,UD.1.5,117,UD.1.5,92,UD.1.5,96,UD.1.5,133,UD.1.5,111,UD.Backspace.A,179,,,,,,
H.5,116,H.1,91,H.5,112,H.5,172,H.5,161,H.5,109,H.5,110,H.5,149,H.5,169,H.5,427,H.5,114,H.5,205,H.5,240,H.5,107,H.5,157,H.5,183,H.5,152,H.5,143,H.5,126,H.5,101,H.5,105,H.5,85,H.5,102,H.5,188,H.R,1786,H.5,119,H.5,84,H.5,138,H.5,149,H.5,80,H.5,76,H.5,76,H.5,77,H.5,73,H.5,88,H.5,82,H.5,84,H.5,62,H.5,72,H.5,220,H.5,127,H.5,170,H.5,208,H.5,96,H.5,484,H.5,315,H.5,451,H.5,467,H.5,126,H.5,161,H.5,159,H.a,370,H.5,160,H.5,211,H.5,304,H.5,347,H.5,144,H.5,161,H.5,90,H.5,171,H.5,101,H.5,198,H.5,263,H.5,129,H.A,745,,,,,,
DD.5.R,1273,DD.1.1,136,DD.5.R,375,DD.5.R,263,DD.5.R,266,DD.5.R,222,DD.5.R,222,DD.5.R,251,DD.5.R,281,DD.5.R,583,DD.5.R,216,DD.5.R,318,DD.5.R,389,DD.5.R,224,DD.5.R,259,DD.5.R,292,DD.5.R,262,DD.5.R,252,DD.5.R,217,DD.5.R,198,DD.5.R,198,DD.5.R,166,DD.5.R,213,DD.5.R,300,DD.R.o,1898,DD.5.R,208,DD.5.R,191,DD.5.R,244,DD.5.R,255,DD.5.R,211,DD.5.R,173,DD.5.R,193,DD.5.R,200,DD.5.R,181,DD.5.R,200,DD.5.R,195,DD.5.R,186,DD.5.R,169,DD.5.R,179,DD.5.R,310,DD.5.R,230,DD.5.R,281,DD.5.R,287,DD.5.R,174,DD.5.R,575,DD.5.R,384,DD.5.R,540,DD.5.R,579,DD.5.R,220,DD.5.R,252,DD.5.R,233,DD.a.Backspace,482,DD.5.R,243,DD.5.R,310,DD.5.R,430,DD.5.R,498,DD.5.R,249,DD.5.R,267,DD.5.R,195,DD.5.R,250,DD.5.R,200,DD.5.R,252,DD.5.R,329,DD.5.R,197,DD.A.A,860,,,,,,
UD.5.R,1157,UD.1.1,45,UD.5.R,263,UD.5.R,91,UD.5.R,105,UD.5.R,113,UD.5.R,112,UD.5.R,102,UD.5.R,112,UD.5.R,156,UD.5.R,102,UD.5.R,113,UD.5.R,149,UD.5.R,117,UD.5.R,102,UD.5.R,109,UD.5.R,110,UD.5.R,109,UD.5.R,91,UD.5.R,97,UD.5.R,93,UD.5.R,81,UD.5.R,111,UD.5.R,112,UD.R.o,112,UD.5.R,89,UD.5.R,107,UD.5.R,106,UD.5.R,106,UD.5.R,131,UD.5.R,97,UD.5.R,117,UD.5.R,123,UD.5.R,108,UD.5.R,112,UD.5.R,113,UD.5.R,102,UD.5.R,107,UD.5.R,107,UD.5.R,90,UD.5.R,103,UD.5.R,111,UD.5.R,79,UD.5.R,78,UD.5.R,91,UD.5.R,69,UD.5.R,89,UD.5.R,112,UD.5.R,94,UD.5.R,91,UD.5.R,74,UD.a.Backspace,112,UD.5.R,83,UD.5.R,99,UD.5.R,126,UD.5.R,151,UD.5.R,105,UD.5.R,106,UD.5.R,105,UD.5.R,79,UD.5.R,99,UD.5.R,54,UD.5.R,66,UD.5.R,68,UD.A.A,115,,,,,,
H.R,138,H.1,112,H.R,141,H.R,343,H.R,637,H.R,162,H.R,144,H.R,225,H.R,1130,H.R,635,H.R,1004,H.R,747,H.R,300,H.R,338,H.R,521,H.R,302,H.R,541,H.R,203,H.R,256,H.R,265,H.R,386,H.R,305,H.R,202,H.R,330,H.o,88,H.R,191,H.R,204,H.R,215,H.R,183,H.R,134,H.R,96,H.R,95,H.R,178,H.R,164,H.R,165,H.R,113,H.R,115,H.R,116,H.R,93,H.R,61,H.R,72,H.R,62,H.R,72,H.R,67,H.R,60,H.R,64,H.R,64,H.R,85,H.R,71,H.R,60,H.R,66,H.Backspace,86,H.R,83,H.R,71,H.R,79,H.R,209,H.R,77,H.R,60,H.R,72,H.R,79,H.R,72,H.R,69,H.R,74,H.R,72,H.A,5980,,,,,,
DD.R.o,774,DD.1.5,268,DD.R.o,300,DD.R.o,483,DD.R.o,765,DD.R.o,307,DD.R.o,362,DD.R.o,370,DD.R.0,1259,DD.R.o,789,DD.R.o,1156,DD.R.o,875,DD.R.o,434,DD.R.o,472,DD.R.o,656,DD.R.o,441,DD.R.o,667,DD.R.o,339,DD.R.o,394,DD.R.o,415,DD.R.o,536,DD.R.o,429,DD.R.o,348,DD.R.o,474,DD.o.%,181,DD.R.o,341,DD.R.o,356,DD.R.o,360,DD.R.o,344,DD.R.o,217,DD.R.o,195,DD.R.o,205,DD.R.o,303,DD.R.o,299,DD.R.o,234,DD.R.o,231,DD.R.o,223,DD.R.o,239,DD.R.o,190,DD.R.o,168,DD.R.o,184,DD.R.o,165,DD.R.o,184,DD.R.o,168,DD.R.O,171,DD.R.o,156,DD.R.o,169,DD.R.o,207,DD.R.o,195,DD.R.o,178,DD.R.o,196,DD.Backspace.Caps Lock,190,DD.R.o,211,DD.R.o,190,DD.R.o,213,DD.R.o,327,DD.R.o,190,DD.R.o,177,DD.R.o,178,DD.R.o,188,DD.R.o,187,DD.R.o,176,DD.R.o,179,DD.R.o,191,DD.A.m,6103,,,,,,
UD.R.o,636,UD.1.5,156,UD.R.o,159,UD.R.o,140,UD.R.o,128,UD.R.o,145,UD.R.o,218,UD.R.o,145,UD.R.0,129,UD.R.o,154,UD.R.o,152,UD.R.o,128,UD.R.o,134,UD.R.o,134,UD.R.o,135,UD.R.o,139,UD.R.o,126,UD.R.o,136,UD.R.o,138,UD.R.o,150,UD.R.o,150,UD.R.o,124,UD.R.o,146,UD.R.o,144,UD.o.%,93,UD.R.o,150,UD.R.o,152,UD.R.o,145,UD.R.o,161,UD.R.o,83,UD.R.o,99,UD.R.o,110,UD.R.o,125,UD.R.o,135,UD.R.o,69,UD.R.o,118,UD.R.o,108,UD.R.o,123,UD.R.o,97,UD.R.o,107,UD.R.o,112,UD.R.o,103,UD.R.o,112,UD.R.o,101,UD.R.O,111,UD.R.o,92,UD.R.o,105,UD.R.o,122,UD.R.o,124,UD.R.o,118,UD.R.o,130,UD.Backspace.Caps Lock,104,UD.R.o,128,UD.R.o,119,UD.R.o,134,UD.R.o,118,UD.R.o,113,UD.R.o,117,UD.R.o,106,UD.R.o,109,UD.R.o,115,UD.R.o,107,UD.R.o,105,UD.R.o,119,UD.A.m,123,,,,,,
H.o,97,H.5,102,H.o,139,H.o,119,H.o,292,H.o,48,H.o,79,H.o,391,H.0,229,H.o,178,H.o,104,H.o,1104,H.o,668,H.o,221,H.o,84,H.o,18,H.o,207,H.o,172,H.o,396,H.o,97,H.o,70,H.o,300,H.o,34,H.o,82,H.%,471,H.o,17,H.o,304,H.o,32,H.o,57,H.o,171,H.o,233,H.o,361,H.o,216,H.o,305,H.o,538,H.o,210,H.o,193,H.o,268,H.o,195,H.o,101,H.o,89,H.o,85,H.o,106,H.o,91,H.O,438,H.o,198,H.o,98,H.o,110,H.o,68,H.o,127,H.o,96,H.Caps Lock,60,H.o,250,H.o,63,H.o,143,H.o,118,H.o,94,H.o,78,H.o,73,H.o,221,H.o,72,H.o,104,H.o,93,H.o,83,H.m,568,,,,,,
DD.o.%,2141,DD.5.R,1805,DD.o.A,2244,DD.o.%,246,DD.o.%,389,DD.o.5,173,DD.o.%,206,DD.o.%,497,DD.0.%,357,DD.o.%,286,DD.o.%,211,DD.o.%,1190,DD.o.%,743,DD.o.%,344,DD.o.%,191,DD.o.%,131,DD.o.%,305,DD.o.%,295,DD.o.%,474,DD.o.%,196,DD.o.%,209,DD.o.%,395,DD.o.%,134,DD.o.%,183,DD.%.Enter,574,DD.o.%,133,DD.o.%,417,DD.o.%,154,DD.o.%,182,DD.o.%,322,DD.o.%,385,DD.o.%,518,DD.o.%,364,DD.o.%,448,DD.o.%,668,DD.o.%,354,DD.o.%,359,DD.o.%,395,DD.o.%,345,DD.o.%,203,DD.o.%,205,DD.o.%,203,DD.o.%,229,DD.o.%,187,DD.O.%,557,DD.o.%,333,DD.o.%,209,DD.o.%,218,DD.o.%,199,DD.o.%,217,DD.o.Caps Lock,212,DD.Caps Lock.A,254,DD.o.%,360,DD.o.%,169,DD.o.%,254,DD.o.%,233,DD.o.%,206,DD.o.%,184,DD.o.%,183,DD.o.%,322,DD.o.%,175,DD.o.%,193,DD.o.%,194,DD.o.$,183,DD.m.m,713,,,,,,
